month,sessions,orders,conversion_rate_percent
2012-03,1879,60,3.19
2012-04,3734,99,2.65
2012-05,3736,108,2.89
2012-06,3963,140,3.53
2012-07,4249,169,3.98
2012-08,6097,228,3.74
2012-09,6546,287,4.38
2012-10,8183,371,4.53
2012-11,14011,618,4.41
2012-12,10072,506,5.02
2013-01,6401,391,6.11
2013-02,7168,497,6.93
2013-03,6264,385,6.15
2013-04,7971,553,6.94
2013-05,8449,571,6.76
2013-06,8325,594,7.14
2013-07,8903,603,6.77
2013-08,9180,608,6.62
2013-09,9580,629,6.57
2013-10,10773,708,6.57
2013-11,14032,861,6.14
2013-12,15735,1047,6.65
2014-01,14825,983,6.63
2014-02,16285,1021,6.27
2014-03,15669,1065,6.8
2014-04,17353,1241,7.15
2014-05,18061,1368,7.57
2014-06,17715,1239,6.99
2014-07,19038,1287,6.76
2014-08,18590,1324,7.12
2014-09,19513,1424,7.3
2014-10,21526,1609,7.47
2014-11,25125,1985,7.9
2014-12,29722,2314,7.79
2015-01,25337,2099,8.28
2015-02,23778,2067,8.69
2015-03,15083,1254,8.31
