month,total_revenue
2012-03,2999.4
2012-04,4949.01
2012-05,5398.92
2012-06,6998.6
2012-07,8448.31
2012-08,11397.72
2012-09,14347.13
2012-10,18546.29
2012-11,30893.82
2012-12,25294.94
2013-01,19966.1
2013-02,26515.02
2013-03,19896.15
2013-04,28584.47
2013-05,29364.29
2013-06,30544.07
2013-07,31143.96
2013-08,31373.92
2013-09,32723.65
2013-10,38242.62
2013-11,46631.02
2013-12,58262.6
2014-01,56568.89
2014-02,66012.52
2014-03,68189.73
2014-04,78725.43
2014-05,88935.27
2014-06,80051.25
2014-07,83288.55
2014-08,84716.08
2014-09,92232.49
2014-10,103905.98
2014-11,128162.98
2014-12,144823.02
2015-01,132211.54
2015-02,129212.94
2015-03,78951.07
