Batch,Downtime Factor,Downtime Value
422111,2,60.0
422112,2,20.0
422113,2,50.0
422117,2,10.0
422130,2,20.0
422138,3,20.0
422145,3,22.0
422114,4,25.0
422119,4,25.0
422120,4,20.0
422123,4,43.0
422131,4,20.0
422135,4,30.0
422139,4,20.0
422147,4,17.0
422148,4,25.0
422120,5,15.0
422124,5,20.0
422128,5,22.0
422114,6,15.0
422117,6,5.0
422118,6,14.0
422124,6,20.0
422127,6,23.0
422139,6,15.0
422140,6,50.0
422142,6,30.0
422143,6,40.0
422144,6,30.0
422146,6,30.0
422147,6,60.0
422111,7,15.0
422118,7,16.0
422121,7,15.0
422122,7,25.0
422123,7,30.0
422128,7,30.0
422133,7,20.0
422134,7,30.0
422143,7,18.0
422146,7,25.0
422147,7,30.0
422112,8,20.0
422126,8,44.0
422134,8,20.0
422137,8,30.0
422144,8,24.0
422148,8,7.0
422120,9,17.0
422115,10,24.0
422131,10,10.0
422137,10,15.0
422118,11,10.0
422125,11,10.0
422140,11,13.0
422118,12,20.0
422125,12,10.0
422129,12,15.0
422135,12,15.0
422141,12,7.0
422146,12,7.0
