Date,Product,Batch,Operator,Start Time,End Time,Actual Batch Time
2024-08-29,OR-600,422111,Mac,11:50:00,14:05:00,0 days 02:15:00
2024-08-29,LE-600,422112,Mac,14:05:00,15:45:00,0 days 01:40:00
2024-08-29,LE-600,422113,Mac,15:45:00,17:35:00,0 days 01:50:00
2024-08-29,LE-600,422114,Mac,17:35:00,19:15:00,0 days 01:40:00
2024-08-29,LE-600,422115,Charlie,19:15:00,20:39:00,0 days 01:24:00
2024-08-29,LE-600,422116,Charlie,20:39:00,21:39:00,0 days 01:00:00
2024-08-29,LE-600,422117,Charlie,21:39:00,22:54:00,0 days 01:15:00
2024-08-30,CO-600,422118,Dee,04:05:00,06:05:00,0 days 02:00:00
2024-08-30,CO-600,422119,Dee,06:05:00,07:30:00,0 days 01:25:00
2024-08-30,CO-600,422120,Dee,07:30:00,09:22:00,0 days 01:52:00
2024-08-30,CO-600,422121,Dennis,09:22:00,10:37:00,0 days 01:15:00
2024-08-30,CO-600,422122,Dennis,10:37:00,12:02:00,0 days 01:25:00
2024-08-30,CO-600,422123,Dennis,12:02:00,14:15:00,0 days 02:13:00
2024-08-30,CO-600,422124,Dennis,14:15:00,15:55:00,0 days 01:40:00
2024-08-30,CO-600,422125,Charlie,15:55:00,17:15:00,0 days 01:20:00
2024-08-30,CO-600,422126,Charlie,17:15:00,18:59:00,0 days 01:44:00
2024-08-30,CO-600,422127,Charlie,18:59:00,20:22:00,0 days 01:23:00
2024-08-30,CO-600,422128,Charlie,20:22:00,22:14:00,0 days 01:52:00
2024-08-30,CO-600,422129,Charlie,22:14:00,23:29:00,0 days 01:15:00
2024-08-31,CO-600,422130,Dee,07:45:00,09:05:00,0 days 01:20:00
2024-08-31,CO-600,422131,Dee,09:05:00,10:35:00,0 days 01:30:00
2024-08-31,CO-600,422132,Dee,10:35:00,11:35:00,0 days 01:00:00
2024-08-31,DC-600,422133,Dee,11:35:00,12:55:00,0 days 01:20:00
2024-08-31,DC-600,422134,Mac,12:55:00,14:45:00,0 days 01:50:00
2024-08-31,DC-600,422135,Mac,14:45:00,16:30:00,0 days 01:45:00
2024-08-31,DC-600,422136,Mac,16:30:00,17:30:00,0 days 01:00:00
2024-09-02,RB-600,422137,Dee,01:00:00,02:45:00,0 days 01:45:00
2024-09-02,RB-600,422138,Dee,02:45:00,04:05:00,0 days 01:20:00
2024-09-02,RB-600,422139,Dee,04:05:00,05:40:00,0 days 01:35:00
2024-09-02,RB-600,422140,Dee,05:40:00,07:43:00,0 days 02:03:00
2024-09-02,RB-600,422141,Dennis,07:43:00,08:50:00,0 days 01:07:00
2024-09-02,RB-600,422142,Dennis,08:50:00,10:20:00,0 days 01:30:00
2024-09-02,RB-600,422143,Dennis,10:20:00,12:18:00,0 days 01:58:00
2024-09-02,CO-2L,422144,Dennis,12:18:00,14:50:00,0 days 02:32:00
2024-09-02,CO-2L,422145,Charlie,14:50:00,16:50:00,0 days 02:00:00
2024-09-02,CO-2L,422146,Charlie,16:50:00,19:30:00,0 days 02:40:00
2024-09-02,CO-2L,422147,Charlie,19:30:00,22:55:00,0 days 03:25:00
2024-09-03,CO-2L,422148,Mac,22:55:00,01:05:00,0 days 02:10:00
